"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2002","09011100","Coffee, not roasted or decaffeinated","United Germany","37670.0","","33109351.0","395107123.8","46115353.28"
"2002","71081300","Semi-manufactured gold (incl. Gold plated with platinum), non-monetary","Switzerland","","","4884.0","325139903.1","37949053.79"
"2002","09011100","Coffee, not roasted or decaffeinated","Japan","23430.0","","32052618.0","310260426.4","36212379.65"
"2002","14049000","Vegetable products, nes","Djibouti","","","3926965.0","258445365.0","30164728.99"
"2002","09011100","Coffee, not roasted or decaffeinated","Saudi Arabia","64440.0","","18235690.0","237259784.8","27692031.19"
"2002","17011100","Raw cane sugar, in solid form","Portugal","","","29630000.0","116759179.8","13627673.36"
"2002","07132000","Dried chickpeas, shelled","Pakistan","","","40297281.0","103391360.5","12067433.94"
"2002","09011100","Coffee, not roasted or decaffeinated","Italy","","","6636004.0","99495769.71","11612755.87"
"2002","09011100","Coffee, not roasted or decaffeinated","France","450.0","","9287400.0","94349442.96","11012096.8"
"2002","17011100","Raw cane sugar, in solid form","Djibouti","","","55450000.0","93899072.33","10959531.31"
"2002","14049000","Vegetable products, nes","Somalia","","","3204056.0","82544131.4","9634227.15"
"2002","12074000","Sesamum seeds","Israel","","","19003415.0","76173123.71","8890628.13"
"2002","09011100","Coffee, not roasted or decaffeinated","Belgium","","","7131400.0","74270500.45","8668561.41"
"2002","09011100","Coffee, not roasted or decaffeinated","United States","2950.0","","3857100.0","64693179.34","7550734.07"
"2002","12079900","Other oil seeds and oleaginous fruits, nes","United States","","","17365812.0","56856256.68","6636039.2"
"2002","41061900","Goat or kid skin leather, (excl. Further prepared)","Italy","","","1384776.0","54882185.23","6405633.33"
"2002","10089000","Other cereal, nes","Israel","","","5266253.0","46257888.95","5399039.3"
"2002","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","Great Britain","","","432961.0","42274897.31","4934160.15"
"2002","12074000","Sesamum seeds","Turkey","","","10815459.0","38477989.72","4490999.99"
"2002","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Great Britain","","","369905.0","38448295.51","4487534.2"
"2002","41061100","Goat or kid skin leather, vegetable pre-tanned, (excl. Further prepared)","Italy","","","1203996.0","37748363.25","4405840.85"
"2002","26159000","Niobium, tantalum and vanadium ores and concentrates","Belgium","","","40374.0","33304137.0","3887128.2"
"2002","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Italy","","","491517.0","33275664.6","3883805.01"
"2002","12074000","Sesamum seeds","Egypt","","","8977700.0","31234861.06","3645610.43"
"2002","09011100","Coffee, not roasted or decaffeinated","Switzerland","","","2154000.0","27107303.93","3163858.16"
"2002","10089000","Other cereal, nes","Djibouti","","","7569760.0","26983902.21","3149455.19"
"2002","41012100","Whole hides and skins of bovine animals, nes, fresh or wet-salted","Italy","","","717945.0","26235552.71","3062110.78"
"2002","12074000","Sesamum seeds","Yemen","","","7232710.0","26120788.25","3048715.92"
"2002","26159000","Niobium, tantalum and vanadium ores and concentrates","China","","","60873.0","25234312.13","2945249.9"
"2002","41061900","Goat or kid skin leather, (excl. Further prepared)","Great Britain","","","265026.0","23642020.85","2759403.91"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","Pakistan","","","9086162.0","22682657.71","2647430.81"
"2002","12074000","Sesamum seeds","Greece","","","5310781.0","21839927.48","2549070.65"
"2002","12074000","Sesamum seeds","Iceland","","","2983042.0","19664650.66","2295180.87"
"2002","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","Italy","","","240216.0","19489158.34","2274698.1"
"2002","17011100","Raw cane sugar, in solid form","United Arab Emirates","","","10500000.0","16540087.2","1930494.08"
"2002","10089000","Other cereal, nes","United Arab Emirates","","","1942028.0","16080153.69","1876812.45"
"2002","14049000","Vegetable products, nes","Great Britain","","","91291.0","15532130.33","1812849.31"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","United Germany","","","5098502.0","13921783.87","1624895.99"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","Great Britain","","","4697336.0","13418771.85","1566186.4"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","Yemen","","","4551819.0","12936737.57","1509925.25"
"2002","09011100","Coffee, not roasted or decaffeinated","Canada","","","1016400.0","12684361.72","1480468.93"
"2002","10051000","Maize seed","Malaysia","","","10000000.0","12551200.0","1464926.82"
"2002","41062000","Goat or kid skin leather, prepared after tanning","Italy","","","99951.0","12306519.39","1436368.66"
"2002","07132000","Dried chickpeas, shelled","India","","","5212678.0","12303256.1","1435987.78"
"2002","52030000","Cotton, carded or combed","India","","","1452051.0","11684869.55","1363812.13"
"2002","41052000","Sheep or lamb skin leather, prepared after tanning","China","","","51434.0","11540885.68","1347006.9"
"2002","09011100","Coffee, not roasted or decaffeinated","Great Britain","","","1007700.0","11460595.55","1337635.75"
"2002","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","864681.0","11378682.18","1328075.14"
"2002","12074000","Sesamum seeds","Japan","","","3179884.0","11372098.4","1327306.71"
"2002","09011100","Coffee, not roasted or decaffeinated","Israel","","","1206000.0","10422095.89","1216426.14"
"2002","12074000","Sesamum seeds","Switzerland","","","2900259.0","10377033.1","1211166.59"
"2002","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","India","","","114097.0","10266756.56","1198295.54"
"2002","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Malaysia","","","115126.0","9880366.85","1153197.65"
"2002","52121400","Coloured woven fabrics of cotton, =<200g/m2, nes","Belgium","","","415628.0","9650664.39","1126387.68"
"2002","41039000","Other hides and skins, fresh or preserved, not tanned, nes","Italy","","","294756.0","9634083.52","1124452.43"
"2002","41041000","Whole bovine skin leather, of surface area =<2.6m2","Italy","","","760745.0","9102368.07","1062392.69"
"2002","07019000","Other potatoes, fresh or chilled","Djibouti","","","4705884.0","9032996.28","1054295.88"
"2002","07132000","Dried chickpeas, shelled","United Arab Emirates","","","3553800.0","8880204.6","1036462.64"
"2002","41012100","Whole hides and skins of bovine animals, nes, fresh or wet-salted","Great Britain","","","82197.0","8873220.45","1035647.48"
"2002","12079900","Other oil seeds and oleaginous fruits, nes","Singapore","","","2791942.0","8858577.46","1033938.4"
"2002","07102200","Shelled or unshelled beans, frozen","Netherlands","","","512766.0","8624895.99","1006664.02"
"2002","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","Malaysia","","","99720.0","8542428.11","997038.69"
"2002","07031000","Onions and shallots, fresh or chilled","Djibouti","","","4447909.0","8541833.37","996969.28"
"2002","09109900","Other spices, nes","United Germany","","","43865.0","8454725.85","986802.43"
"2002","41052000","Sheep or lamb skin leather, prepared after tanning","India","","","55703.0","8286998.3","967225.93"
"2002","07132000","Dried chickpeas, shelled","Panama","","","2693990.0","8152340.49","951509.2"
"2002","09011100","Coffee, not roasted or decaffeinated","Netherlands","","","735900.0","8145879.19","950755.06"
"2002","09011100","Coffee, not roasted or decaffeinated","Yemen","2495.0","","653600.0","8033655.23","937656.72"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","Morocco","","","3135016.0","8029701.41","937195.24"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","South Africa","","","2733417.0","7956256.12","928623.0"
"2002","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Indonesia","","","107385.0","7906176.48","922777.9"
"2002","07135000","Dried broad beans and horse beans, shelled","Sudan","","","2121056.0","7848162.94","916006.79"
"2002","12074000","Sesamum seeds","Jordan","","","2038178.0","7829518.98","913830.74"
"2002","09011100","Coffee, not roasted or decaffeinated","United Arab Emirates","","","794004.0","7723103.17","901410.3"
"2002","07020000","Tomatoes fresh or chilled","Djibouti","","","3118855.0","7565307.31","882992.99"
"2002","41042100","Bovine leather, vegetable pre-tanned (excl. Further prepared)","Italy","","","723282.0","7546818.09","880835.0"
"2002","09011100","Coffee, not roasted or decaffeinated","Finland","","","486000.0","7508838.9","876402.22"
"2002","08052000","Mandarins, clementines, wilkings...etc, fresh or dried","Djibouti","","","223770.0","7429059.77","867090.71"
"2002","41022100","Pickled skins of sheep or lambs, without wool, not tanned","China","","","39355.0","7415362.24","865491.99"
"2002","09011100","Coffee, not roasted or decaffeinated","Greece","100.0","","522200.0","7361279.71","859179.69"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","India","","","2955130.0","7280535.61","849755.55"
"2002","41061900","Goat or kid skin leather, (excl. Further prepared)","Spain","","","120596.0","7085655.7","827009.93"
"2002","41061900","Goat or kid skin leather, (excl. Further prepared)","India","","","151376.0","6698784.93","781855.89"
"2002","41042100","Bovine leather, vegetable pre-tanned (excl. Further prepared)","Hong Kong","","","931504.0","6645488.75","775635.37"
"2002","12074000","Sesamum seeds","Netherlands","","","1454226.0","6574656.81","767368.15"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","Algeria","","","2440484.0","6459627.36","753942.36"
"2002","52030000","Cotton, carded or combed","Greece","","","1009510.0","6349957.0","741142.07"
"2002","41061200","Goat or kid skin leather, pre-tanned, (excl. Further prepared)","Italy","","","223479.0","6343313.9","740366.71"
"2002","12074000","Sesamum seeds","Swaziland","","","1617822.0","6160844.41","719069.59"
"2002","52030000","Cotton, carded or combed","Turkey","","","716403.0","6069652.25","708426.0"
"2002","14049000","Vegetable products, nes","United States","","","19969.0","6061410.71","707464.08"
"2002","09011100","Coffee, not roasted or decaffeinated","Australia","70.0","","532800.0","6044978.08","705546.12"
"2002","41052000","Sheep or lamb skin leather, prepared after tanning","Italy","","","89946.0","5843626.41","682045.15"
"2002","08051000","Oranges, fresh or dried","Djibouti","","","1965808.0","5840470.78","681676.83"
"2002","08045000","Guavas, mangoes and mangosteens, fresh or dried","Djibouti","","","837384.0","5823058.87","679644.58"
"2002","12074000","Sesamum seeds","Saudi Arabia","","","1552167.0","5752511.11","671410.53"
"2002","07132000","Dried chickpeas, shelled","Bangladesh","","","2450000.0","5690655.0","664190.92"
"2002","07133300","Dried kidney beans, incl. White pea beans, shelled","Belgium","","","2035082.0","5604812.71","654171.75"
"2002","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","India","","","77548.0","5560967.21","649054.27"
"2002","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Italy","","","174843.0","5498799.55","641798.31"
