"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","37318850.0","473698925.26","54849118.29"
"2004","71081300","Semi-manufactured gold (incl. Gold plated with platinum), non-monetary","Switzerland","","","5044.0","408334444.6","47280631.35"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","20423836.0","294314625.26","34078392.07"
"2004","71081300","Semi-manufactured gold (incl. gold plated with platinum), non-monetary","Luxembourg","","","2821.87","238380207.7","27601802.57"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","11017080.0","141291307.23","16359977.21"
"2004","12074000","Sesamum seeds","Israel","","","16975914.4","132294909.84","15318293.48"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","7045090.0","119958461.08","13889868.59"
"2004","12079900","Other oil seeds and oleaginous fruits, nes","United States","","","24719153.6","114948310.69","13309748.36"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","7285614.0","112281087.0","13000913.23"
"2004","12074000","Sesamum seeds","Turkey","","","11503460.0","97018395.57","11233661.66"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","France","","","7078800.0","86985308.3","10071940.66"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","5384460.0","79546869.01","9210651.31"
"2004","18061000","Cocoa powder, containing added sugar or other sweetening matter","Netherlands","","","18092800.0","76170760.55","8819735.14"
"2004","12074000","Sesamum seeds","Yemen","","","9243549.0","64817879.72","7505196.58"
"2004","07135000","Dried broad beans and horse beans, shelled","Sudan","","","23945367.0","62479067.9","7234387.93"
"2004","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Italy","","","836190.0","52009648.51","6022144.47"
"2004","12074000","Sesamum seeds","Japan","","","6644639.0","49378826.53","5717524.26"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Switzerland","","","3220800.0","41271639.52","4778801.3"
"2004","71081300","Semi-manufactured gold (incl. Gold plated with platinum), non-monetary","Swaziland","","","456.0","39289683.98","4549312.67"
"2004","41061100","Goat or kid skin leather, vegetable pre-tanned, (excl. Further prepared)","Italy","","","1141164.0","36534379.47","4230278.76"
"2004","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","China","","","321903.0","34435182.27","3987214.84"
"2004","41061900","Goat or kid skin leather, (excl. Further prepared)","Italy","","","1260680.0","33553552.56","3885131.83"
"2004","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","1971280.0","32810966.72","3799148.57"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sweden","","","2523000.0","32700809.88","3786393.62"
"2004","09011100","Coffee, not roasted or decaffeinated","Great Britain","","","2028306.0","31536286.71","3651554.67"
"2004","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Great Britain","","","320389.0","30582889.52","3541161.77"
"2004","12074000","Sesamum seeds","Jordan","","","3640524.0","29457239.87","3410823.94"
"2004","12074000","Sesamum seeds","Greece","","","3817647.0","28069853.93","3250179.92"
"2004","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","Great Britain","","","371944.0","27953217.37","3236674.7"
"2004","12074000","Sesamum seeds","Saudi Arabia","","","3932590.8","27837720.24","3223301.4"
"2004","10089000","Other cereal, nes","Israel","","","3936085.0","27356164.74","3167542.58"
"2004","10089000","Other cereal, nes","Djibouti","","","4978156.0","23620779.27","2735026.08"
"2004","12010000","Soya beans","Netherlands","","","1216947.0","23211320.0","2687615.21"
"2004","07133300","Dried kidney beans, incl. White pea beans, shelled","Great Britain","","","7318284.0","22511190.81","2606547.96"
"2004","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","7968034.0","20474052.02","2370669.73"
"2004","41041000","Whole bovine skin leather, of surface area =<2.6m2","China","","","2414191.0","19357963.0","2241438.91"
"2004","52030000","Cotton, carded or combed","Turkey","","","1909734.0","19278155.74","2232198.11"
"2004","14049000","Vegetable products, nes","Great Britain","","","98871.0","19268583.96","2231089.8"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Canada","","","1416000.0","18449749.67","2136277.81"
"2004","12074000","Sesamum seeds","United States","","","2424496.0","17580377.13","2035614.04"
"2004","26159000","Niobium, tantalum and vanadium ores and concentrates","China","","","40278.0","17309338.62","2004230.77"
"2004","07019000","Other potatoes, fresh or chilled","Djibouti","","","8176452.0","17117258.39","1981989.99"
"2004","41061100","Goat or kid skin leather, vegetable pre-tanned, (excl. Further prepared)","India","","","166559.0","17082603.52","1977977.34"
"2004","10089000","Other cereal, nes","Sudan","","","4237270.0","17022197.56","1970982.99"
"2004","07102200","Shelled or unshelled beans, frozen","Netherlands","","","200000.0","16496544.02","1910118.11"
"2004","52030000","Cotton, carded or combed","Indonesia","","","1305371.0","16421600.9","1901440.52"
"2004","12079900","Other oil seeds and oleaginous fruits, nes","Israel","","","1824428.0","16222207.19","1878352.92"
"2004","12074000","Sesamum seeds","Egypt","","","2047126.0","15354288.61","1777857.51"
"2004","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","India","","","274334.0","14747836.74","1707637.06"
"2004","41042100","Bovine leather, vegetable pre-tanned (excl. Further prepared)","Hong Kong","","","1749639.0","13810214.47","1599070.73"
"2004","09101000","Ginger","Sudan","","","4562476.0","13733545.3","1590193.28"
"2004","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Thailand","","","101566.0","13543529.59","1568191.56"
"2004","07020000","Tomatoes fresh or chilled","Djibouti","","","5209421.0","13195693.23","1527915.94"
"2004","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","Malaysia","","","137070.0","13043248.49","1510264.52"
"2004","41061200","Goat or kid skin leather, pre-tanned, (excl. Further prepared)","Italy","","","305132.0","12717010.55","1472489.76"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Djibouti","","","755430.0","12468012.83","1443658.57"
"2004","52030000","Cotton, carded or combed","Switzerland","","","1057572.0","12423815.25","1438540.97"
"2004","52030000","Cotton, carded or combed","South Africa","","","946028.0","12219751.62","1414912.65"
"2004","14049000","Vegetable products, nes","United Kingdom","","","45522.96","12164314.65","1408493.66"
"2004","12074000","Sesamum seeds","Djibouti","","","1800326.0","12069063.85","1397464.67"
"2004","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","Italy","","","265974.0","11868130.22","1374198.77"
"2004","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Malaysia","","","164798.0","11525905.91","1334572.96"
"2004","12081000","Soya bean flour and meal","Sudan","","","1728010.0","11171346.51","1293518.89"
"2004","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","India","","","124289.0","11126644.36","1288342.87"
"2004","08051000","Oranges, fresh or dried","Djibouti","","","3487839.0","10911338.64","1263412.84"
"2004","41061100","Goat or kid skin leather, vegetable pre-tanned, (excl. Further prepared)","Great Britain","","","99759.0","10841594.16","1255337.2"
"2004","09011100","Coffee, not roasted or decaffeinated","Union Of Soviet Socialist Rep.","","","936000.0","10828837.45","1253860.11"
"2004","12074000","Sesamum seeds","United Arab Emirates","","","1603240.0","10825976.35","1253528.82"
"2004","07031000","Onions and shallots, fresh or chilled","Djibouti","","","5584630.0","10719008.02","1241143.07"
"2004","26159000","Niobium, tantalum and vanadium ores and concentrates","Djibouti","","","30212.0","10629438.41","1230771.9"
"2004","12079900","Other oil seeds and oleaginous fruits, nes","Singapore","","","2249772.0","9984565.3","1156102.7"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Netherlands","","","622020.0","9953096.68","1152458.98"
"2004","07133300","Dried kidney beans, incl. White pea beans, shelled","Italy","","","3928637.0","9939306.73","1150862.25"
"2004","12079900","Other oil seeds and oleaginous fruits, nes","Turkey","","","1439000.0","9938515.78","1150770.67"
"2004","07133100","Dried beans, shelled","Sudan","","","3475746.0","9889296.29","1145071.59"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Arab Emirates","","","852000.0","9873392.47","1143230.1"
"2004","17031000","Cane molasses resulting from the extraction or refining of sugar","Djibouti","","","15015000.0","9768706.8","1131108.66"
"2004","52081200","UNBLEACHED PLAIN COTTON WEAVE, WITH >=85% COTTON, >100G/M2 BUT < 200G/M2","Italy","","","462709.9","9743474.19","1128187.0"
"2004","07133300","Dried kidney beans, incl. white pea beans, shelled","Netherlands","","","3819360.8","9557253.85","1106624.73"
"2004","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","617102.0","9539791.99","1104602.84"
"2004","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","664800.0","8802416.24","1019222.85"
"2004","02041000","Fresh or chilled lamb carcasses and half carcasses","Saudi Arabia","","","469184.0","8689166.15","1006109.74"
"2004","12074000","Sesamum seeds","China","","","1263084.0","8569085.18","992205.69"
"2004","88039000","Parts of aircraft (excl. Aeroplanes/helicopters)","Ukrain","","","3035.0","8533610.24","988098.08"
"2004","14049000","Vegetable products, nes","Kenya","","","26477.0","8091348.8","936889.08"
"2004","09101000","Ginger","Yemen","","","1106767.0","7841920.37","908008.01"
"2004","09011100","Coffee, not roasted or decaffeinated","Norway","","","526540.0","7840779.53","907875.91"
"2004","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Tunisia","","","416988.0","7826003.08","906164.96"
"2004","10059000","Maize (excl. Seed)","Tanzania","","","5567500.0","7640869.98","884728.59"
"2004","07133300","Dried kidney beans, incl. White pea beans, shelled","United Germany","","","3151661.0","7585605.49","878329.57"
"2004","07089000","Leguminous vegetables, fresh or chilled, nes","United States","","","1687556.0","7428404.93","860127.48"
"2004","01029000","Live bovine animals, other than pure-bred breeding","Yemen","7289.0","No.","1355256.0","7291372.04","844260.58"
"2004","01021000","Live pure-bred breeding bovine animals","Yemen","5949.0","No.","1283906.0","7264807.14","841184.65"
"2004","41052000","Sheep or lamb skin leather, prepared after tanning","China","","","19196.0","7256141.8","840181.3"
"2004","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","China","","","70496.0","6948432.2","804551.92"
"2004","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","2746340.0","6920923.58","801366.73"
