"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2016","01","1000 100","12074090","--OTHER","China","","","34859018.8","34789000.0","722493432.97","32925618.5501659","0.0","0.0"
"2016","01","1071 100","07099900","--OTHER","Somalia","","","3624769.0","3151842.0","336127398.16","15318066.5609392","0.0","0.0"
"2016","01","1071 100","06031100","--Roses","Netherlands","","","3406460.0","2997881.42","250621257.66","11421363.2314339","0.0","0.0"
"2016","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","2323786.0","2285800.0","152632213.27","6955786.45183929","0.0","0.0"
"2016","01","1000 100","12074090","--OTHER","Israel","","","6359429.2","6346000.0","128899722.32","5874244.51857523","0.0","0.0"
"2016","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","917429.6","893226.92","100902321.88","4598341.25742827","0.0","0.0"
"2016","01","1071 100","07099900","--OTHER","Djibouti","","","653840.0","622689.53","99972328.78","4555959.42159758","0.0","0.0"
"2016","01","1071 100","01022910","---OX","Somalia","7284.0","UN","2438285.0","2438285.0","92982510.4","4237417.9882606","0.0","0.0"
"2016","01","1071 100","12074090","--OTHER","China","","","3997980.0","3990000.0","84602483.62","3855521.69328083","0.0","0.0"
"2016","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","Indonesia","","","2597700.0","2590000.0","66201615.66","3016953.57377228","0.0","0.0"
"2016","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Pakistan","","","5098176.0","5088000.0","65714484.83","2994753.94792008","0.0","0.0"
"2016","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","870000.0","864000.0","64809085.2","2953492.89073608","0.0","0.0"
"2016","01","1000 100","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","555726.0","546061.6","64634342.49","2945529.48020343","0.0","0.0"
