"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"1998","09011100","Coffee, not roasted or decaffeinated","United Germany","","","36379140.0","900769508.0","126587243.6"
"1998","09011100","Coffee, not roasted or decaffeinated","Japan","","","21772520.0","428833808.0","60265017.0"
"1998","09011100","Coffee, not roasted or decaffeinated","Saudi Arabia","","","14817450.0","365340044.0","51342090.0"
"1998","14049000","Vegetable products, nes","Djibouti","","","5745921.0","320994008.6","45110038.03"
"1998","09011100","Coffee, not roasted or decaffeinated","United States","","","9732000.0","231613793.0","32549227.49"
"1998","09011100","Coffee, not roasted or decaffeinated","Belgium","","","5320200.0","149567441.0","21019061.95"
"1998","09011100","Coffee, not roasted or decaffeinated","France","","","6484380.0","134112143.0","18847092.81"
"1998","09011100","Coffee, not roasted or decaffeinated","Italy","","","4255020.0","127469307.0","17913559.54"
"1998","12074000","Sesamum seeds","Egypt","","","17605760.0","80876778.0","11365802.58"
"1998","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Italy","","","2474599.0","71653529.0","10069637.85"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Great Britain","","","725618.0","59004113.0","8291985.86"
"1998","09011100","Coffee, not roasted or decaffeinated","Netherlands","","","2610000.0","52688683.0","7404463.73"
"1998","71081300","Semi-manufactured gold (incl. Gold plated with platinum), non-monetary","United Germany","","","840.0","48492764.0","6814801.43"
"1998","09011100","Coffee, not roasted or decaffeinated","Sweden","","","1386540.0","44839082.0","6301340.96"
"1998","09011100","Coffee, not roasted or decaffeinated","Poland","","","2053500.0","39773629.0","5589481.01"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Italy","","","681508.0","36378466.0","5112350.82"
"1998","09011100","Coffee, not roasted or decaffeinated","Denmark","","","1602000.0","34150281.0","4799218.78"
"1998","12074000","Sesamum seeds","Guatemala","","","6409000.0","27730185.0","3896987.69"
"1998","09011100","Coffee, not roasted or decaffeinated","Canada","","","1055400.0","27012092.0","3796072.4"
"1998","12074000","Sesamum seeds","Japan","","","6180419.0","26736986.0","3757411.11"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Malaysia","","","365440.0","26461242.0","3718660.16"
"1998","14049000","Vegetable products, nes","Somalia","","","747168.0","24801420.0","3485401.5"
"1998","07133300","Dried kidney beans, incl. White pea beans, shelled","Algeria","","","7463370.0","24385437.0","3426942.44"
"1998","09011100","Coffee, not roasted or decaffeinated","Spain","","","1182000.0","23599186.0","3316448.75"
