"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","51073110.68","1020576295.0","116599978.9"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","28413418.26","576569051.3","65872526.66"
"2005","12074000","Sesamum seeds","China","","","76615005.2","521195398.9","59546133.68"
"2005","71081300","Semi-manufactured gold (incl. gold plated with platinum), non-monetary","Switzerland","","","3834.62","384813183.0","43964580.82"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","18265500.0","368234804.26","42070515.06"
"2005","14049000","Vegetable products, nes","Somalia","","","10260700.01","281147868.9","32120906.33"
"2005","14049000","Vegetable products, nes","Djibouti","","","4615493.56","258736361.78","29560410.58"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","9615130.0","219550537.66","25083463.31"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","7496940.0","178526575.5","20396510.32"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","7945350.0","160270520.3","18310771.44"
"2005","12074000","Sesamum seeds","Israel","","","21778742.0","151413286.36","17298839.95"
"2005","18061000","Cocoa powder, containing added sugar or other sweetening matter","Netherlands","","","32150040.0","135690035.33","15502471.82"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","France","","","6667680.0","132605974.4","15150120.47"
"2005","12074000","Sesamum seeds","Turkey","","","14843403.0","98709473.25","11277473.86"
"2005","12079900","Other oil seeds and oleaginous fruits, nes","United States","","","21341972.6","87725350.1","10022547.09"
"2005","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","Italy","","","1332485.5","78683586.43","8989533.23"
"2005","12074000","Sesamum seeds","United Arab Emirates","","","11989084.1","78442195.63","8961954.53"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Switzerland","","","3675675.0","75556482.96","8632264.3"
"2005","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","Egypt","30492.0","No.","7967164.2","71248345.46","8140063.23"
"2005","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","Italy","","","2253795.6","66898390.34","7643084.54"
"2005","12074000","Sesamum seeds","Switzerland","","","9356014.0","64407236.31","7358472.3"
"2005","17011100","Raw cane sugar, in solid form","Portugal","","","14200000.0","61636396.18","7041906.15"
"2005","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","2928094.0","57775276.24","6600776.46"
"2005","07102200","Shelled or unshelled beans, frozen","Netherlands","","","3160693.0","55372063.15","6326211.4"
"2005","12074000","Sesamum seeds","Yemen","","","7723107.0","53701674.33","6135370.89"
"2005","12074000","Sesamum seeds","Djibouti","","","7121329.6","49534037.66","5659221.92"
"2005","12074000","Sesamum seeds","Canada","","","7416872.0","48790192.17","5574238.21"
"2005","06031000","Fresh cut flowers and buds","Netherlands","29264363.0","No.","2076747.25","46998057.8","5369488.37"
"2005","26140000","Titanium ores and concentrates","China","","","120668.0","46910800.55","5359519.3"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sweden","","","2220250.0","45764431.32","5228547.59"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Djibouti","","","2450939.0","45366756.89","5183113.62"
"2005","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","2426471.2","43896242.7","5015108.62"
"2005","12074000","Sesamum seeds","Jordan","","","5779494.0","40196319.26","4592395.49"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","1740247.0","39466358.28","4508998.07"
"2005","12074000","Sesamum seeds","Saudi Arabia","","","5782292.0","39002354.8","4455986.06"
"2005","12074000","Sesamum seeds","Greece","","","5213337.0","37416804.08","4274838.23"
"2005","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","United Kingdom","","","123784.5","37143113.98","4243569.37"
"2005","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","China","","","1284896.5","36919808.67","4218056.93"
"2005","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","United Kingdom","","","368340.0","36205993.0","4136504.09"
"2005","17019900","Cane or beet sugar, in solid form, nes","United Kingdom","","","14000000.0","35636119.47","4071396.52"
"2005","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","Yemen","32480.0","No.","4718804.23","34470402.93","3938214.39"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Netherlands","","","1404084.0","33316536.52","3806386.13"
"2005","02041000","Fresh or chilled lamb carcasses and half carcasses","Saudi Arabia","","","1387029.52","32763656.59","3743220.07"
"2005","10089000","Other cereal, nes","Yemen","","","8520200.0","31143460.22","3558114.0"
"2005","14049000","Vegetable products, nes","United Kingdom","","","100492.84","29344242.5","3352554.9"
"2005","10089000","Other cereal, nes","Sudan","","","6387900.0","27874225.44","3184606.69"
"2005","10089000","Other cereal, nes","United Arab Emirates","","","7404970.0","27040142.17","3089313.38"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Canada","","","1231125.0","26226167.1","2996317.42"
"2005","07133300","Dried kidney beans, incl. white pea beans, shelled","United Kingdom","","","9746188.0","25778515.95","2945173.65"
"2005","01021000","LIVE PURE-BRED BREEDING BOVINE ANIMALS","Egypt","11437.0","No.","3460652.0","25335088.09","2894512.39"
"2005","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","Somalia","23863.0","No.","4703600.0","24652300.31","2816504.47"
"2005","06031000","Fresh cut flowers and buds","Germany","15036203.0","No.","728113.3","24405696.31","2788330.17"
"2005","12079900","Other oil seeds and oleaginous fruits, nes","Singapore","","","6236658.7","24292692.44","2775419.57"
"2005","12074000","Sesamum seeds","Korea, Democratic People's Rep.","","","3251980.0","21298556.74","2433342.1"
"2005","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Malaysia","","","187696.5","19734781.64","2254682.12"
"2005","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","Malaysia","","","211286.5","19223756.55","2196297.93"
"2005","07135000","Dried broad beans and horse beans, shelled","Sudan","","","7383145.0","19192044.55","2192674.86"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Russian Federation","","","990000.0","19086715.55","2180641.11"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Swaziland","","","724080.0","17735012.4","2026210.17"
"2005","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","6629508.5","16571391.39","1893267.46"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Arab Emirates","","","959000.0","16456188.79","1880105.66"
"2005","41022100","Pickled skins of sheep or lambs, without wool, not tanned","India","","","198587.0","16370244.61","1870286.61"
"2005","10089000","Other cereal, nes","Israel","","","3634373.8","15827068.37","1808229.18"
"2005","41022100","Pickled skins of sheep or lambs, without wool, not tanned","United Kingdom","","","145426.5","15697174.27","1793388.89"
"2005","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","738825.0","15455583.95","1765787.4"
"2005","07011000","Seed potatoes","Djibouti","","","7822712.0","15060393.92","1720637.27"
"2005","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","China","","","25925.8","15055787.93","1720111.04"
"2005","17019100","Cane or beet sugar, containing added flavouring or colouring","Djibouti","","","6000000.0","15051142.2","1719580.27"
"2005","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","China","","","249488.0","14785129.43","1689188.54"
"2005","07020000","Tomatoes fresh or chilled","Djibouti","","","5734301.0","14176023.58","1619598.71"
"2005","14049000","Vegetable products, nes","Kenya","","","45194.59","13925434.54","1590969.12"
"2005","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","United States","","","26964.5","13880064.55","1585785.64"
"2005","12074000","Sesamum seeds","Singapore","","","2069160.0","13842216.67","1581461.55"
"2005","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Turkey","","","113582.0","13756566.19","1571676.06"
"2005","09101000","Ginger","Yemen","","","2131393.0","13576568.78","1551111.5"
