"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2007","01","1071 100","17011100","Raw cane sugar, in solid form","Portugal","","","22226480.0","22160000.0","127971806.97","14144125.7966113","0.0","0.0"
"2007","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","3394580.0","3344400.0","77716921.83","8589688.18926357","0.0","0.0"
"2007","01","1071 100","14049000","Vegetable products, nes","Somalia","","","1654623.0","1454261.36","40369382.24","4461839.16796534","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1863714.0","1530000.0","33273390.08","3677552.31495297","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","China","","","4637878.0","4629077.0","31498572.46","3481390.01735248","0.0","0.0"
"2007","01","1071 100","06031000","Fresh cut flowers and buds","Netherlands","29995907.0","STM","1102871.1","1012433.1","29077719.72","3213824.47693889","0.0","0.0"
"2007","01","1071 100","14049000","Vegetable products, nes","Djibouti","","","368687.0","351072.84","22050855.46","2437178.00767046","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Turkey","","","2876296.0","2870154.0","19226597.08","2125025.92703118","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","572063.8","565132.5","16186755.51","1789046.44384761","0.0","0.0"
"2007","01","1071 100","12074000","Sesamum seeds","China","","","2433448.2","2429000.0","16182995.57","1788630.87525006","0.0","0.0"
"2007","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","838935.0","828000.0","16029490.55","1771664.68273705","0.0","0.0"
"2007","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","19086304.0","UN","69718.0","60897.0","14246274.11","1574574.10281066","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","510360.0","504000.0","13154480.42","1453903.24833936","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Israel","","","1787178.0","1783568.0","12323491.82","1362057.96169192","0.0","0.0"
"2007","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","622292.0","614400.0","11649254.75","1287537.68913647","0.0","0.0"
"2007","01","1071 100","07049000","White and red cabbages, kohlrabi, kale...etc, fresh or chilled","Netherlands","","","690815.0","665082.0","10947958.39","1210026.67970866","0.0","0.0"
"2007","01","1000 100","01029000","LIVE BOVINE ANIMALS, OTHER THAN CATTLE AND BUFFALO","Yemen","6147.0","UN","1156150.0","1156150.0","10247924.49","1132655.20408502","0.0","0.0"
"2007","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","459135.0","450000.0","9334063.19","1031650.38518076","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","383438.8","378660.0","9245592.78","1021872.16419643","0.0","0.0"
"2007","01","1000 505","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","Italy","","","84173.0","81241.0","7704943.82","851591.434287167","0.0","0.0"
"2007","01","1000 100","26140000","Titanium ores and concentrates","China","","","20623.0","19952.0","7118024.97","786722.036539673","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Greece","","","989976.0","988000.0","6756481.39","746762.314179294","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","273435.0","270000.0","6477762.87","715956.858649159","0.0","0.0"
"2007","01","1000 505","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","United Kingdom","","","25275.0","24400.0","5916522.85","653925.621981277","0.0","0.0"
"2007","01","1000 505","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","Italy","","","143462.0","141209.0","5784243.34","639305.385899179","0.0","0.0"
"2007","01","1000 100","06021000","UNROOTED CUTTINGS AND SLIPS","United States","9687700.0","UN","9046.0","7317.0","5625158.73","621722.507377566","0.0","0.0"
"2007","01","1071 100","12074000","Sesamum seeds","Greece","","","722760.0","721924.0","5388172.59","595529.536788355","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Yemen","","","696897.0","695523.9","4689151.12","518269.960321408","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","218685.0","216000.0","4631316.84","511877.807619616","0.0","0.0"
"2007","01","1000 100","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","United Kingdom","","","15935.0","15137.0","4336326.59","479273.91381235","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Russian Federation","","","182250.0","180000.0","4227475.01","467243.057351592","0.0","0.0"
"2007","01","1000 100","52030000","Cotton, carded or combed","India","","","443427.0","436477.0","4179099.3","461896.316190855","0.0","0.0"
"2007","01","1071 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","1627716.6","1618317.0","3938511.08","435305.224532202","0.0","0.0"
"2007","01","1000 505","41022100","Pickled skins of sheep or lambs, without wool, not tanned","India","","","49645.0","48788.0","3842162.67","424656.285022713","0.0","0.0"
