"No.","HS Code","HS Description","Suppl. Unit","Special Permission","Duty Tax Rate","Excise Tax Rate","VAT Rate","Sur Tax Rate","With Hold Rate","Second Schedule 1","Second Schedule 2","Export Duty Tax Rate"
"1.0","01011000","LIVE HORSES,ASSESS MULES,AND HINNIES:PURE-BRED BREEDING ANMALS","UN","MOA","05","0","15","10","3","0","0","0"
"2.0","01012100","--PURE-BRED BREEDING ANIMALS","UN","MOA","00","0","15","10","3","0","0","0"
"3.0","01012900","--OTHER","UN","MOA","05","0","15","10","3","0","0","0"
"4.0","01013000","-ASSES","UN","MOA","05","0","15","10","3","0","0","0"
"5.0","01019000","OTHER LIVE HORSES,ASSES,MULES,AND HINNIES(EXCLUDING 0101.1000):NES","UN","MOA","05","0","15","10","3","0","0","0"
"6.0","01021000","LIVE PURE-BRED BREEDING BOVINE ANIMALS","UN","MOA","05","0","15","10","3","0","0","0"
"7.0","01022100","--PURE-BRED BREEDING ANIMALS","UN","MOA","00","0","15","10","3","0","0","0"
"8.0","01022910","---OX","UN","MOA","05","0","15","10","3","0","0","0"
"9.0","01022990","---OTHER","UN","MOA","05","0","15","10","3","0","0","0"
"10.0","01023100","--PURE-BRED BREEDING ANIMALS","UN","MOA","00","0","15","10","3","0","0","0"
"11.0","01023900","--OTHER","UN","MOA","05","0","15","10","3","0","0","0"
"12.0","01029000","LIVE BOVINE ANIMALS, OTHER THAN CATTLE AND BUFFALO","UN","MOA","05","0","15","10","3","0","0","0"
"13.0","01029010","---OX","UN","","05","0","15","10","3","0","0","0"
"14.0","01029090","---OTHER Live bovine animals","UN","","05","0","15","10","3","0","0","0"
"15.0","01031000","LIVE PURE-BRED BREEDING SWINE","UN","MOA","05","0","15","10","3","0","0","0"
"16.0","01039100","LIVE SWINE WEIGHING <50KG (EXCL. PURE-BRED BREEDING)","UN","MOA","05","0","15","10","3","0","0","0"
"17.0","01039200","LIVE SWINE WEIGHING >=50KG (EXCL. PURE-BRED BREEDING)","UN","MOA","05","0","15","10","3","0","0","0"
"18.0","01041000","LIVE SHEEP","UN","MOA","05","0","15","10","3","0","0","0"
"19.0","01042000","LIVE GOATS","UN","MOA","05","0","15","10","3","0","0","0"
"20.0","01051100","LIVE FOWLS OF SPECIES GALLUS DOMESTICUS, WEIGHING =<185G (CHICKS)","UN","MOA","05","0","15","10","3","0","0","0"
"21.0","01051200","Live turkeys weighing =<185g","UN","MOA","05","0","15","10","3","0","0","0"
"22.0","01051300","--DUCKS","UN","MOA","05","0","15","10","3","0","0","0"
"23.0","01051400","--GEESE","UN","MOA","05","0","15","10","3","0","0","0"
"24.0","01051500","--GUINEA FOWLS","UN","MOA","05","0","15","10","3","0","0","0"
"25.0","01051900","LIVE DUCKS, GEESE, AND GUINEA FOWLS, WEIGHING =<185G","UN","MOA","05","0","15","10","3","0","0","0"
"26.0","01059200","Live fowls of species gallus domesticus, weighing >185g but <2000g","UN","MOA","05","0","15","10","3","0","0","0"
"27.0","01059300","Live fowls of species gallus domesticus, weighing >2000g","UN","MOA","05","0","15","10","3","0","0","0"
"28.0","01059400","Fowls of the species Gallus domesticus","UN","","05","0","15","10","3","0","0","0"
"29.0","01059900","LIVE DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING >185G","UN","MOA","05","0","15","10","3","0","0","0"
"30.0","01059910","---Chicks for breeding","UN","","00","0","15","0","3","0","0","0"
"31.0","01059990","---Other ,live poultry","UN","","05","0","15","10","3","0","0","0"
"32.0","01061100","MAMMALS :PRIMATES","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"33.0","01061200","--WHALES,DOLPHINS & PORPOISES(ORD. CETECCA;MANATEES & DUGONGS(ORD. SIRENIA);SEALS &...","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"34.0","01061300","--CAMELS & OTHER CAMELIDS (CAMELIDAE)","UN","MOA","05","0","15","10","3","0","0","0"
"35.0","01061400","--RABBITS & HARES","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"36.0","01061900","--OTHER","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"37.0","01061910","---Camels","UN","","05","0","15","10","3","0","0","0"
"38.0","01061990","---Other,live animals","UN","","05","0","15","10","3","0","0","0"
"39.0","01062000","REPTILES (INCLUDING SNAKES AND TURTLES","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"40.0","01063100","BIRDS OF PREY","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"41.0","01063200","PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS ,MACAWS AND COCKATOOS","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"42.0","01063300","--OSTRICHES; EMUS (DROMAIUSNOVAEHOLLANDIAE)","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"43.0","01063900","OTHER LIVE ANIMALS","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"44.0","01064100","--BEES","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"45.0","01064900","--OTHER","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"46.0","01069000","LIVE ANIMALS NES","UN","MOA&EWCO","05","0","15","10","3","0","0","0"
"47.0","02011000","Fresh or chilled bovine carcasses and half carcasses","","MOH","30","0","15","10","3","0","0","0"
"48.0","02012000","Fresh or chilled unboned bovine meat (excl. carcasses)","","MOH","30","0","15","10","3","0","0","0"
"49.0","02013000","Fresh or chilled boneless bovine meat","","MOH","30","0","15","10","3","0","0","0"
"50.0","02021000","Frozen bovine carcasses and half carcasses","","MOH","30","0","15","10","3","0","0","0"
"51.0","02022000","Frozen unboned bovine meat (excl. carcasses)","","MOH","30","0","15","10","3","0","0","0"
"52.0","02023000","Frozen boneless bovine meat","","MOH","30","0","15","10","3","0","0","0"
"53.0","02031100","Fresh or chilled swine carcasses and half carcasses","","MOH","30","0","15","10","3","0","0","0"
"54.0","02031200","Fresh or chilled unboned hams, shoulders and cuts thereof of swine","","MOH","30","0","15","10","3","0","0","0"
"55.0","02031900","Fresh or chilled swine meat, nes (unboned)","","MOH","30","0","15","10","3","0","0","0"
"56.0","02032100","Frozen swine carcasses and half carcasses","","MOH","30","0","15","10","3","0","0","0"
"57.0","02032200","Frozen unboned hams, shoulders and cuts thereof of swine","","MOH","30","0","15","10","3","0","0","0"
"58.0","02032900","Frozen swine meat, nes","","MOH","30","0","15","10","3","0","0","0"
"59.0","02041000","Fresh or chilled lamb carcasses and half carcasses","","MOH","30","0","15","10","3","0","0","0"
"60.0","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. lamb)","","MOH","30","0","15","10","3","0","0","0"
"61.0","02042200","Fresh or chilled unboned meat of sheep","","MOH","30","0","15","10","3","0","0","0"
"62.0","02042300","Fresh or chilled boneless meat of sheep","","MOH","30","0","15","10","3","0","0","0"
"63.0","02043000","Frozen lamb carcasses and half carcasses","","MOH","30","0","15","10","3","0","0","0"
"64.0","02044100","Frozen sheep carcasses and half carcasses (excl.lamb)","","MOH","30","0","15","10","3","0","0","0"
"65.0","02044200","Frozen unboned meat of sheep","","MOH","30","0","15","10","3","0","0","0"
"66.0","02044300","Frozen boned meat of sheep","","MOH","30","0","15","10","3","0","0","0"
"67.0","02045000","Fresh, chilled or frozen goat meat","","MOH","30","0","15","10","3","0","0","0"
"68.0","02050000","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","","MOH","30","0","15","10","3","0","0","0"
"69.0","02061000","Fresh or chilled edible bovine offal","","MOH","30","0","15","10","3","0","0","0"
"70.0","02062100","Frozen bovine tongues","","MOH","30","0","15","10","3","0","0","0"
"71.0","02062200","Frozen bovine livers","","MOH","30","0","15","10","3","0","0","0"
"72.0","02062900","Frozen edible bovine offal (excl. tongues and livers)","","MOH","30","0","15","10","3","0","0","0"
"73.0","02063000","Fresh or chilled edible swine offal","","MOH","30","0","15","10","3","0","0","0"
