"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2000","09011100","Coffee, not roasted or decaffeinated","United Germany","","","41113020.0","738029434.0","89814103.66"
"2000","09011100","Coffee, not roasted or decaffeinated","Japan","","","26377309.0","445241703.0","54183454.78"
"2000","14049000","Vegetable products, nes","Djibouti","","","4359262.0","301476489.4","36688022.76"
"2000","09011100","Coffee, not roasted or decaffeinated","Saudi Arabia","","","14619350.0","286794427.0","34901296.9"
"2000","14049000","Vegetable products, nes","Somalia","","","9587325.0","248214296.0","30206308.15"
"2000","71081300","Semi-manufactured gold (incl. Gold plated with platinum), non-monetary","Switzerland","","","3921.0","227274878.0","27658096.7"
"2000","09011100","Coffee, not roasted or decaffeinated","Belgium","","","7146000.0","115099285.0","14006946.93"
"2000","09011100","Coffee, not roasted or decaffeinated","France","","","7326000.0","111542406.0","13574094.41"
"2000","09011100","Coffee, not roasted or decaffeinated","Italy","","","5108340.0","111379327.0","13554248.6"
"2000","12074000","Sesamum seeds","Israel","","","17123220.0","95466809.0","11617783.09"
"2000","09011100","Coffee, not roasted or decaffeinated","United States","","","4506720.0","91831829.0","11175426.11"
"2000","17011100","Raw cane sugar, in solid form","Djibouti","","","57000000.0","68653673.0","8354772.61"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Great Britain","","","662296.0","52497618.0","6388670.0"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","India","","","1468360.0","51932285.0","6319872.1"
"2000","09011100","Coffee, not roasted or decaffeinated","Netherlands","","","3291600.0","46101684.0","5610320.18"
"2000","12074000","Sesamum seeds","Egypt","","","7814644.0","45892100.0","5584814.96"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Italy","","","1193065.0","45497389.0","5536780.82"
"2000","12079900","Other oil seeds and oleaginous fruits, nes","United States","","","8765224.0","41048866.0","4995420.15"
"2000","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Italy","","","2266581.0","40623876.22","4943701.24"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Indonesia","","","518778.0","39415190.0","4796610.81"
"2000","52030000","Cotton, carded or combed","Pakistan","","","5534000.0","29538001.0","3594611.49"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Malaysia","","","309834.0","23273844.0","2832298.2"
"2000","41090000","Patent leather and patent laminated leather; metallized leather","Italy","","","234742.0","22783546.35","2772631.69"
"2000","10089000","Other cereal, nes","Israel","","","2460443.0","22469334.0","2734393.78"
"2000","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Italy","","","2163148.0","21714757.0","2642565.93"
"2000","09011100","Coffee, not roasted or decaffeinated","Poland","","","1119600.0","17892926.0","2177470.22"
"2000","81031000","Unwrought tantalum (incl. Bars and rods); waste and scrap... Of tantalum","Belgium","","","20871.0","16779534.0","2041976.56"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Spain","","","233244.0","16146866.0","1964984.36"
"2000","17011100","Raw cane sugar, in solid form","Kenya","","","7652817.0","15979246.0","1944585.93"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Yemen","","","5083551.0","15927865.8","1938333.25"
"2000","81031000","Unwrought tantalum (incl. Bars and rods); waste and scrap... Of tantalum","Singapore","","","22074.0","15384076.0","1872157.03"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","United Germany","","","5861310.0","15031320.08","1829228.59"
"2000","09011100","Coffee, not roasted or decaffeinated","Canada","","","810000.0","14638311.0","1781401.56"
"2000","09011100","Coffee, not roasted or decaffeinated","Spain","","","1260000.0","14228111.0","1731482.48"
"2000","12074000","Sesamum seeds","Yemen","","","1868477.0","13056234.0","1588871.53"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Netherlands","","","4042940.0","12964093.0","1577658.48"
"2000","09011100","Coffee, not roasted or decaffeinated","Great Britain","","","739500.0","12757390.0","1552503.86"
"2000","14049000","Vegetable products, nes","Great Britain","","","45444.0","11370401.0","1383714.97"
"2000","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","612543.0","10455063.0","1272323.39"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Morocco","","","3127880.0","10186128.0","1239595.49"
"2000","12074000","Sesamum seeds","Netherlands","","","862120.0","9997985.0","1216699.52"
"2000","01041000","Live sheep","Saudi Arabia","32702.0","No.","1131800.0","9671654.0","1176986.84"
"2000","09011100","Coffee, not roasted or decaffeinated","Israel","","","594000.0","8888957.0","1081736.95"
"2000","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","536583.0","8672900.0","1055444.0"
"2000","52030000","Cotton, carded or combed","India","","","1139519.0","8627179.0","1049880.01"
"2000","09011100","Coffee, not roasted or decaffeinated","Sweden","","","414000.0","8618821.0","1048862.89"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Japan","","","113353.0","8443337.0","1027507.45"
"2000","09011100","Coffee, not roasted or decaffeinated","Jordan","","","468000.0","8302039.0","1010312.27"
"2000","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","Italy","","","335695.0","7645615.0","930429.09"
"2000","09011100","Coffee, not roasted or decaffeinated","Yemen","","","345360.0","7624713.0","927885.44"
"2000","09011100","Coffee, not roasted or decaffeinated","Australia","","","448500.0","7528664.0","916196.8"
"2000","09011100","Coffee, not roasted or decaffeinated","Denmark","","","468000.0","7421808.0","903193.02"
"2000","12074000","Sesamum seeds","Japan","","","1438510.0","6843762.0","832848.02"
"2000","41090000","Patent leather and patent laminated leather; metallized leather","United Germany","","","71365.0","6749740.0","821406.06"
"2000","09011100","Coffee, not roasted or decaffeinated","Hungary","","","456000.0","6552027.0","797345.48"
"2000","07019000","Other potatoes, fresh or chilled","Djibouti","","","3247258.0","6328636.85","770160.13"
"2000","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","United Germany","","","453000.0","6005630.0","730851.98"
"2000","12079900","Other oil seeds and oleaginous fruits, nes","Netherlands","","","1266903.0","6005371.0","730820.46"
"2000","09011100","Coffee, not roasted or decaffeinated","Greece","","","378000.0","5673399.0","690421.31"
"2000","52030000","Cotton, carded or combed","Greece","","","501000.0","5665901.0","689508.84"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Israel","","","59266.0","5511929.0","670771.3"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Algeria","","","2084000.0","5410563.0","658435.62"
"2000","07082000","Beans, fresh or chilled","Italy","","","1393674.0","5124256.0","623593.64"
"2000","41090000","Patent leather and patent laminated leather; metallized leather","Great Britain","","","52257.0","5059773.0","615746.41"
"2000","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","China","","","740000.0","4880198.0","593893.13"
"2000","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","India","","","333946.0","4748301.0","577841.99"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Romania","","","24601.0","4616128.09","561757.28"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Thailand","","","77185.0","4569138.0","556038.84"
"2000","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Hong Kong","","","739688.0","4462622.0","543076.44"
"2000","09011100","Coffee, not roasted or decaffeinated","Taiwan Province of China","","","286800.0","4316654.0","525312.94"
"2000","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Great Britain","","","79709.0","4157458.0","505939.66"
"2000","14049000","Vegetable products, nes","United States","","","24259.0","4143398.0","504228.64"
"2000","09011100","Coffee, not roasted or decaffeinated","Finland","","","189600.0","4121001.0","501503.05"
"2000","07031000","Onions and shallots, fresh or chilled","Djibouti","","","2233940.0","4041181.0","491789.4"
"2000","09011100","Coffee, not roasted or decaffeinated","Korea, Republic Of","","","221400.0","3761136.0","457709.47"
"2000","12074000","Sesamum seeds","Saudi Arabia","","","642993.0","3756006.0","457085.17"
"2000","09101000","Ginger","Sudan","","","588131.0","3674783.18","447200.81"
