"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2015","01","1000 100","12074090","--OTHER","China","","","19704428.8","19665000.0","655683053.59","31550527.071023","0.0","0.0"
"2015","01","1000 100","71081300","--Other Semi-manufacturedforms gold (incl. gold plated with platinum), non-monetary","Switzerland","","","883.9","796.17","501270669.85","24120424.8797036","0.0","0.0"
"2015","01","1071 100","07099900","--OTHER","Somalia","","","3649020.0","3168808.81","332084065.67","15979408.4144933","0.0","0.0"
"2015","01","1071 100","06031100","--Roses","Netherlands","","","2964652.8","2609312.22","206740208.31","9948041.97430469","0.0","0.0"
"2015","01","1000 100","12074090","--OTHER","Israel","","","4835674.2","4826000.0","161575497.24","7774780.92772592","0.0","0.0"
"2015","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1655821.25","1629950.0","136525012.13","6569387.55317101","0.0","0.0"
"2015","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","994203.2","969685.91","98159309.72","4723285.04090078","0.0","0.0"
"2015","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Pakistan","","","8052100.8","8036000.0","97740443.46","4703129.79790203","0.0","0.0"
"2015","01","1071 100","12074090","--OTHER","China","","","2760510.0","2755000.0","92834513.36","4467063.48570879","0.0","0.0"
"2015","01","1071 100","07099900","--OTHER","Djibouti","","","548427.0","522285.47","79886661.8","3844031.45991724","0.0","0.0"
"2015","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","2385630.0","2379743.3","55124578.52","2652515.56731787","0.0","0.0"
"2015","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","444513.0","440400.0","49788021.64","2395728.11278991","0.0","0.0"
"2015","01","1000 100","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","418701.0","411960.45","46289721.93","2227394.95380618","0.0","0.0"
"2015","01","1071 100","01022910","---OX","Somalia","3200.0","UN","1109750.0","1108805.0","39014322.72","1877313.1902608","0.0","0.0"
"2015","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","449659.0","444000.0","34385607.88","1654586.07833702","0.0","0.0"
"2015","01","1000 100","12079990","--OTHER","United States","","","1970298.0","1966482.0","34013801.87","1636695.30699644","0.0","0.0"
"2015","01","1071 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","3453480.0","3440000.0","33666866.16","1620001.25878164","0.0","0.0"
"2015","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","402120.0","396000.0","32228728.56","1550800.14243095","0.0","0.0"
"2015","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","329232.0","325200.0","30969599.46","1490212.65806948","0.0","0.0"
"2015","01","3052 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","China","","","81434.5","80549.9","27832485.48","1339259.23780194","0.0","0.0"
"2015","01","1071 100","01061300","--CAMELS & OTHER CAMELIDS (CAMELIDAE)","Egypt","1749.0","UN","706239.0","706239.0","27447209.19","1320720.29592917","0.0","0.0"
"2015","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","271280.0","271280.0","26384390.69","1269578.99576557","0.0","0.0"
"2015","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","Indonesia","","","913452.0","910000.0","23592218.46","1135223.67722067","0.0","0.0"
"2015","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","19539157.0","UN","83843.0","55889.6","22829918.68","1098542.90636127","0.0","0.0"
"2015","01","1000 100","12074090","--OTHER","Jordan","","","661331.4","660000.0","22494275.84","1082392.25483592","0.0","0.0"
"2015","01","1000 100","12074090","--OTHER","Turkey","","","590178.0","589000.0","21616633.82","1040161.38100279","0.0","0.0"
"2015","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","49112442.0","UN","60428.0","52049.0","21359727.68","1027799.42642672","0.0","0.0"
"2015","01","1071 100","07019000","Other potatoes, fresh or chilled","Somalia","","","3598578.0","3566749.0","21073552.37","1014029.08141661","0.0","0.0"
"2015","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","214016.0","211200.0","21018142.09","1011362.8183043","0.0","0.0"
"2015","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","1312624.9","1309950.0","20833162.68","1002461.87469926","0.0","0.0"
"2015","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","El Salvador","","","1202400.0","1200000.0","20696003.47","995861.970455202","0.0","0.0"
"2015","01","1071 100","06031900","--Other cut flowers","Netherlands","","","236666.3","208236.58","19933656.02","959178.905783851","0.0","0.0"
"2015","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Russian Federation","","","1025733.6","1023628.0","18775417.03","903446.108651718","0.0","0.0"
"2015","01","1000 100","12074090","--OTHER","Yemen","","","566800.0","565668.0","18118283.14","871825.769415841","0.0","0.0"
"2015","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Kenya","","","2008742.0","2008050.0","17404228.7","837466.495043788","0.0","0.0"
"2015","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","175024.0","172800.0","16597294.2","798637.965547108","0.0","0.0"
"2015","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","United States","9668150.0","UN","50895.0","30546.0","16428870.43","790533.655567318","0.0","0.0"
"2015","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","194560.0","192000.0","15966348.62","768277.770185738","0.0","0.0"
"2015","01","1000 120","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Hong Kong","","","36765.0","35894.0","15718428.55","756348.212395342","0.0","0.0"
"2015","01","3052 505","61072100","MEN'S OR BOYS' PYJAMAS OF COTTON, KNITTED OR CROCHETED","Germany","126656.0","UN","62172.0","58542.0","15636598.92","752410.688095467","0.0","0.0"
"2015","01","3052 505","64059000","-Other","United States","76035.0","2UN","60018.0","39191.0","15467278.99","744263.256183235","0.0","0.0"
"2015","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","India","","","619236.0","618000.0","15036788.44","723548.669040516","0.0","0.0"
"2015","01","3052 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","China","","","16750.5","16469.6","14766426.69","710539.249831585","0.0","0.0"
"2015","01","1000 100","58022000","Terry towelling and similar woven terry fabrics, of other textiles","Netherlands","708859.0","M","115823.0","101526.0","14657350.4","705290.655374844","0.0","0.0"
"2015","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Belgium","","","921988.8","920000.0","14183005.23","682465.846886729","0.0","0.0"
"2015","01","1071 100","01041000","LIVE SHEEP","Saudi Arabia","9400.0","UN","263000.0","263000.0","14134176.64","680116.285246848","0.0","0.0"
"2015","01","1000 100","09109900","Other spices, nes","Sudan","","","239815.0","239170.0","13797173.63","663900.184294101","0.0","0.0"
"2015","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","China","","","19002.6","18468.4","13289974.41","639494.486093735","0.0","0.0"
"2015","01","1000 100","09041100","Dried pepper (excl. crushed or ground)","Sudan","","","256314.0","254220.0","12972595.69","624222.677798095","0.0","0.0"
"2015","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","India","","","367.08","333.84","12222092.35","588109.534693485","0.0","0.0"
"2015","01","1071 100","06031100","--Roses","Saudi Arabia","","","174802.15","153820.34","12140802.54","584197.985756905","0.0","0.0"
"2015","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","South Africa","","","719445.6","718000.0","12115598.13","582985.185737658","0.0","0.0"
