"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2017","01","1071 100","07099900","--OTHER","Somalia","","","3723460.0","3237223.0","366189819.81","15521647.8247048","0.0","0.0"
"2017","01","1000 100","71081300","--Other Semi-manufacturedforms gold (incl. gold plated with platinum), non-monetary","Switzerland","","","574.5","512.0","357906051.01","15170524.6229686","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","China","","","11729688.0","11704000.0","266616965.88","11301064.1601885","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","Netherlands","","","2972391.0","2615472.98","237612602.8","10071659.395902","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1433610.0","1410000.0","126785043.59","5374023.77014437","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","1256673.0","1246800.0","113259364.07","4800712.27227643","0.0","0.0"
"2017","01","1071 100","07099900","--OTHER","Djibouti","","","685113.0","652472.94","110766693.96","4695055.73706564","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","Pakistan","","","4563108.0","4554000.0","109347015.88","4634879.99762633","0.0","0.0"
"2017","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","896308.3","873448.1","106755433.18","4525030.86528598","0.0","0.0"
"2017","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","Viet Nam","","","4234368.0","4224000.0","95184536.08","4034576.51596714","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","907717.0","896400.0","93740806.77","3973381.31967345","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","608792.0","601200.0","80381876.01","3407137.7832504","0.0","0.0"
"2017","01","1000 100","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","582790.0","571036.03","72158216.37","3058562.42190215","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Israel","","","3065342.2","3059000.0","71551064.01","3032827.12125194","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","761261.0","751800.0","60312265.49","2556449.39810615","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of","","","692441.0","683820.0","58377710.25","2474449.61682251","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Kenya","","","7224227.1","7221110.0","56381743.9","2389846.80953875","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","United Arab Emirates","","","2094180.0","2090000.0","48503833.9","2055926.70035012","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Pakistan","","","3258504.0","3252000.0","45870530.33","1944309.15005807","0.0","0.0"
"2017","01","1000 100","07133100","Dried beans, shelled","Viet Nam","","","1821636.0","1818000.0","41041798.06","1739634.20367749","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","United Arab Emirates","","","1680554.0","1677200.0","40727847.0","1726326.79444901","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","France","","","543169.0","536400.0","39224902.15","1662621.63554056","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","53160199.0","UN","114022.0","86326.0","38661699.9","1638749.243394","0.0","0.0"
"2017","01","1071 100","07019000","Other potatoes, fresh or chilled","Somalia","","","5893632.0","5838975.0","38375326.79","1626610.77771467","0.0","0.0"
"2017","01","3052 505","62042900","--WOMEN'S OR GIRLS' ENSEMBLES OF OTHER TEXTILES, NES","Germany","711970.0","UN","211964.3","161363.3","38106866.01","1615231.56000712","0.0","0.0"
"2017","01","1000 100","12019000","-OTHER","India","","","3967419.0","3959500.0","35668832.45","1511890.89826299","0.0","0.0"
"2017","01","1000 101","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","548100.0","540000.0","35100217.25","1487789.06799705","0.0","0.0"
"2017","01","1000 101","12074090","--OTHER","China","","","1523648.0","1520000.0","34121716.2","1446313.45105586","0.0","0.0"
"2017","01","1071 100","01022910","---OX","Somalia","2443.0","UN","827540.0","827540.0","33288749.64","1411006.58861827","0.0","0.0"
"2017","01","1071 100","12074090","--OTHER","China","","","1523040.0","1520000.0","33260709.16","1409818.03986063","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","362213.0","357600.0","32969263.49","1397464.5641356","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","656928.9","650580.0","32598437.27","1381746.39372335","0.0","0.0"
"2017","01","3052 505","64059000","-Other","United States","133559.0","2UN","93083.0","50296.0","28700115.94","1216508.67405329","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","Iran, Islamic Republic of","","","1202400.0","1200000.0","28641720.54","1214033.47462297","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","194400.0","194400.0","27708777.36","1174488.91413264","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","218720.0","218000.0","26691199.66","1131356.95950356","0.0","0.0"
"2017","01","3052 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","China","","","102585.8","100520.8","25949049.13","1099899.50619272","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Portugal","","","2092368.0","2088000.0","25767738.11","1092214.29582659","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","1820446.0","1816260.0","25588341.08","1084610.21354515","0.0","0.0"
"2017","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","Indonesia","","","1154880.0","1152000.0","25111982.23","1064418.84309221","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","351135.0","346800.0","24731293.59","1048282.63536254","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","384000.0","384000.0","23897812.66","1012953.97038004","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","194440.0","192000.0","23837654.02","1010404.03268877","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Turkey","","","990014.0","988000.0","22580712.26","957126.179839099","0.0","0.0"
"2017","01","1071 100","06031900","--Other cut flowers","Netherlands","","","235999.4","207714.48","22443689.04","951318.1916057","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Arab Emirates","","","228097.5","224100.0","22234958.38","942470.747959071","0.0","0.0"
"2017","01","1000 100","09041100","Dried pepper (excl. crushed or ground)","Sudan","","","327619.0","326700.0","21919699.52","929107.905155094","0.0","0.0"
"2017","01","1000 100","12079990","--OTHER","United States","","","1094184.0","1092000.0","20975653.55","889092.731919872","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","China","","","135047.25","133380.0","18766602.36","795457.920838243","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","15077300.0","UN","64992.0","48744.0","18093575.46","766930.403268877","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Yemen","","","869736.0","868000.0","17889051.69","758261.276608371","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Russian Federation","","","1096234.4","1094000.0","17544688.57","743664.794720289","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Netherlands","","","143737.75","141900.0","17434944.7","739013.093310501","0.0","0.0"
"2017","01","1000 100","07133900","Dried beans, shelled, nes","Viet Nam","","","722160.0","720000.0","16166147.04","685232.705724773","0.0","0.0"
